agency,station,unit_name,unit_label,kind,address,sido,sigungu,lat,lon,catchment,total,violent,theft,sexual,fraud,traffic,night,other
서울특별시경찰청,서울광진,구의,구의파출소,파출소,서울특별시 광진구 광나루로 43길 26 구의파출소,서울특별시,광진구,37.5502741239803,127.093135225891,"광장동, 구의동, 중곡동",9803,1318,1321,406,2866,899,124,2869
서울특별시경찰청,서울서부,응암,응암지구대,지구대,서울특별시 은평구 은평로 171,서울특별시,은평구,37.5963272964127,126.924109745075,응암동,10708,1579,1520,289,3370,968,78,2904
서울특별시경찰청,서울서부,신사,신사지구대,지구대,서울특별시 은평구 은평터널로5길 6호,서울특별시,은평구,37.5949214743515,126.908475948726,"수색동, 신사동, 증산동",10708,1579,1520,289,3370,968,78,2904
서울특별시경찰청,서울서부,녹번,녹번파출소,파출소,서울특별시 은평구 진흥로 진흥로200,서울특별시,은평구,37.6022161609652,126.929919982801,녹번동,10708,1579,1520,289,3370,968,78,2904
서울특별시경찰청,서울서부,응암3,응암3파출소,파출소,서울특별시 은평구 응암로 208,서울특별시,은평구,37.6028174370823,126.928940981464,,10708,1579,1520,289,3370,968,78,2904
서울특별시경찰청,서울서부,역촌,역촌파출소,파출소,서울특별시 은평구 연서로 61,서울특별시,은평구,37.6043976551681,126.915123289569,"구산동, 역촌동",10708,1579,1520,289,3370,968,78,2904
서울특별시경찰청,서울강북,미아,미아지구대,지구대,서울특별시 강북구 도봉로 127,서울특별시,강북구,37.6270831294022,127.027060776679,미아동,8620,1179,968,253,2724,747,90,2659
서울특별시경찰청,서울강북,솔샘,솔샘지구대,지구대,서울특별시 강북구 오현로 4,서울특별시,강북구,37.6397513275882,127.025538071854,"수유동, 우이동",8620,1179,968,253,2724,747,90,2659
서울특별시경찰청,서울강북,수유1,수유1파출소,파출소,서울특별시 강북구 삼양로 305,서울특별시,강북구,37.6397513275882,127.025538071854,,8620,1179,968,253,2724,747,90,2659
서울특별시경찰청,서울강북,수유2,수유2파출소,파출소,서울특별시 강북구 삼각산로 115,서울특별시,강북구,37.6397513275882,127.025538071854,,8620,1179,968,253,2724,747,90,2659
서울특별시경찰청,서울강북,수유3,수유3파출소,파출소,서울특별시 강북구 한천로150길 76,서울특별시,강북구,37.6397513275882,127.025538071854,,8620,1179,968,253,2724,747,90,2659
서울특별시경찰청,서울강북,인수,인수파출소,파출소,서울특별시 강북구 인수봉로 227,서울특별시,강북구,37.6397513275882,127.025538071854,,8620,1179,968,253,2724,747,90,2659
서울특별시경찰청,서울강북,번동,번동파출소,파출소,서울특별시 강북구 한천로 969,서울특별시,강북구,37.6241057350225,127.04133717608,번동,8620,1179,968,253,2724,747,90,2659
서울특별시경찰청,서울강북,번3,번3파출소,파출소,서울특별시 강북구 월계로 227,서울특별시,강북구,37.6397513275882,127.025538071854,,8620,1179,968,253,2724,747,90,2659
